Italy	A	1	1	0	0	3	0	3	
Switzerland	A	1	0	1	0	1	1	1	
Wales	A	1	0	1	0	1	1	1	
Turkey	A	1	0	0	1	0	3	0	
Belgium	B	1	1	0	0	3	0	3	
Denmark	B	1	0	0	1	0	1	0	
Finland	B	1	1	0	0	1	0	3	
Russia	B	1	0	0	1	0	3	0	
Austria	C	1	1	0	0	3	1	3	
Netherlands	C	1	1	0	0	3	2	3	
NorthMacedonia	C	1	0	0	1	1	3	0	
Ukraine	C	1	0	0	1	2	3	0	
Croatia	D	1	0	0	1	0	1	0	
Czechia	D	1	1	0	0	2	0	3	
England	D	1	1	0	0	1	0	3	
Scotland	D	1	0	0	1	0	2	0	
Poland	E	1	0	0	1	1	2	0	
Slovakia	E	1	1	0	0	2	1	3	
Spain	E	1	0	1	0	0	0	1	
Sweden	E	1	0	1	0	0	0	1	
France	F	0	0	0	0	0	0	0	
Germany	F	0	0	0	0	0	0	0	
Hungary	F	0	0	0	0	0	0	0	
Portugal	F	0	0	0	0	0	0	0	
